2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 500 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 500 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 500 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 500 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 500 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 500 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 500 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 20 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 20 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 50 encounters...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 encounter records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 50 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 100 encounters...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 100 encounter records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 100 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 100 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 20 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 20 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 200 encounters...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 200 encounter records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 50 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 10 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 10 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 10 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 10 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 50 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 100 encounters...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 100 encounter records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 50 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 100 encounters...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 100 encounter records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 50 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 100 encounters...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 100 encounter records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 50 patient records...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 patient records
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   | Extracting 100 encounters...
2026-06-21 20:15:25 | INFO     | src.extractors.ehr_extractor   |   ✓ 100 encounter records
2026-06-22 20:30:36 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:30:36 | INFO     | src.extractors.ehr_extractor   | Extracting 5000 patient records...
2026-06-22 20:30:36 | INFO     | src.extractors.ehr_extractor   |   ✓ 5000 patient records
2026-06-22 20:30:36 | INFO     | src.extractors.ehr_extractor   | Extracting 8000 encounters...
2026-06-22 20:30:37 | INFO     | src.extractors.ehr_extractor   |   ✓ 8000 encounter records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 200 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 200 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 300 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 300 encounter records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 200 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 200 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 300 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 300 encounter records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 200 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 200 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 300 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 300 encounter records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 200 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 200 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 300 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 300 encounter records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 200 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 200 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 300 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 300 encounter records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 200 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 200 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 300 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 300 encounter records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 500 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 500 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 500 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 500 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 500 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 500 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 500 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 500 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 500 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 500 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 500 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 500 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 500 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 500 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 500 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 500 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 20 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 20 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 50 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 encounter records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 50 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 100 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 100 encounter records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 100 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 100 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 20 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 20 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 200 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 200 encounter records
